Local time in Cape Town (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
31.12.2018 05:00,14.7,755.2,759.4,-0.5,87,Wind blowing from the east-northeast,1,2,,no clouds, ,,,,,,,,,,30,12.6,,,,,,
31.12.2018 02:00,20.2,755.7,759.7,-1.5,67,Wind blowing from the south,7,8,,no clouds, ,,,,,,,,,,30,13.9,,,,,,
30.12.2018 23:00,20.8,757.2,761.2,-0.1,73,Wind blowing from the south,8,10,,no clouds, ,,,,25.4,,,,,,30,15.7,,,,,,
30.12.2018 20:00,20.7,757.3,761.4,0,75,Wind blowing from the south,7,12,,no clouds, ,,,,25.4,,,,,,30,16.1,,,,,,
30.12.2018 17:00,23.4,757.3,761.4,-1.1,59,Wind blowing from the south,13,13,,"10%  or less, but not 0", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30,14.8,,,,,,
30.12.2018 14:00,24.2,758.4,762.4,-0.1,55,Wind blowing from the south-southwest,12,14,,"10%  or less, but not 0", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",40,14.7,,,,,,
30.12.2018 11:00,23.2,758.5,762.4,-0.1,57,Wind blowing from the south-southwest,10,13,,"10%  or less, but not 0", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",40,14.1,,,,,,
30.12.2018 08:00,21.5,758.6,762.7,1,65,Wind blowing from the south,8,11,,no clouds, ,,,17.9,,,,,,,30,14.5,,,,,,
30.12.2018 05:00,18.2,757.6,761.7,0.2,82,Wind blowing from the south-southwest,6,8,,no clouds, ,,,,,,,,,,30,15,,,,,,
30.12.2018 02:00,18.4,757.4,761.5,-1,77,Wind blowing from the south,7,10,,no clouds, ,,,,,,,,,,30,14.3,,,,,,
29.12.2018 23:00,18.9,758.4,762.5,0.9,76,Wind blowing from the south,9,11,,"10%  or less, but not 0", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30,14.6,,,,,,
29.12.2018 20:00,19.8,757.5,761.6,1.1,78,Wind blowing from the south,9,11,,"10%  or less, but not 0", ,,,,26,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.","10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20,15.8,,,,,,
29.12.2018 17:00,22.9,756.4,760.3,0.3,61,Wind blowing from the south,8,10,,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",40,14.9,,,,,,
29.12.2018 14:00,24.8,756.1,760.2,0.4,57,Wind blowing from the south,10,12,,20–30%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",40,15.7,,,,,,
29.12.2018 11:00,24.3,755.7,759.7,0,51,Wind blowing from the south-west,4,,,no clouds, ,,,,,,,,,,40,13.6,,,,,,
29.12.2018 08:00,20.5,755.7,759.7,1.4,65,Wind blowing from the west-northwest,3,4,,no clouds, ,,,12.6,,,,,,,30,13.6,,,,,,
29.12.2018 05:00,13.7,754.3,758.5,0.2,83,Wind blowing from the east,2,3,,no clouds, ,,,,,,,,,,30,10.9,,,,,,
29.12.2018 02:00,16.5,754.1,758.2,-1.7,74,Wind blowing from the south-southeast,3,5,,no clouds, ,,,,,,,,,,30,11.8,,,,,,
28.12.2018 23:00,19.5,755.8,759.9,-0.8,65,Wind blowing from the south-southeast,6,9,,no clouds, ,,,,26.5,,,,,,30,12.8,,,,,,
28.12.2018 20:00,21.5,756.6,760.6,-1,66,Wind blowing from the south-southwest,6,8,,no clouds, ,,,,26.5,,,,,,40,14.8,,,,,,
28.12.2018 17:00,23.8,757.6,761.6,-1.5,52,Wind blowing from the south,9,11,,no clouds, ,,,,,,,,,,40,13.2,,,,,,
28.12.2018 14:00,24.2,759.1,763.2,-0.9,47,Wind blowing from the south,8,11,,no clouds, ,,,,,,,,,,40,12.1,,,,,,
28.12.2018 11:00,23.5,760,764,-0.6,30,Wind blowing from the north-northwest,2,6,,no clouds, ,,,,,,,,,,30,4.8,,,,,,
28.12.2018 08:00,19.3,760.6,764.7,-0.1,50,Wind blowing from the east-southeast,2,4,,no clouds, ,,,15.4,,,,,,,30,8.6,,,,,,
28.12.2018 05:00,16,760.7,764.8,-0.7,61,Wind blowing from the south-southeast,7,10,,no clouds, ,,,,,,,,,,30,8.5,,,,,,
28.12.2018 02:00,17,761.4,765.5,-0.7,63,Wind blowing from the south-southeast,8,9,,20–30%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,9.8,,,,,,
27.12.2018 23:00,17.4,762.1,766.2,0.6,64,Wind blowing from the south-southeast,5,8,,40%., ,,,,23.6,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,10.4,,,,,,
27.12.2018 20:00,18.4,761.5,765.5,1.8,58,Wind blowing from the south,5,7,,20–30%., ,,,,23.6,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",25,10,,,,,,
27.12.2018 17:00,21.3,759.7,763.9,0.3,48,Wind blowing from the south-southwest,8,12,,50%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",25,9.7,,,,,,
27.12.2018 14:00,22.8,759.4,763.5,1.3,38,Wind blowing from the south-west,6,10,,50%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,1500-2000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",25,7.8,,,,,,
27.12.2018 11:00,21.1,758.1,762.1,0.8,54,Wind blowing from the south-west,5,10,,70 – 80%., ,,,19.8,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,1000-1500,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","No Cirrus, Cirrocumulus or Cirrostratus.",30,11.5,,,,,,
27.12.2018 08:00,20.2,757.3,761.3,1.5,60,Wind blowing from the west-southwest,3,,,60%.,State of sky on the whole unchanged. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,17.1,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,1000-1500,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",20,12.1,,,,,,
27.12.2018 05:00,18,755.8,759.9,0.9,88,Wind blowing from the south-southwest,3,4,,"90  or more, but not 100%",State of sky on the whole unchanged. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",1000-1500,,,20,16,,,,,,
27.12.2018 02:00,18.2,754.9,759.1,-0.9,95,Wind blowing from the south-west,3,5,,"90  or more, but not 100%","Rain, not freezing, continuous, slight at time of observation. ",Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,10,17.3,3,18,,,,
26.12.2018 23:00,18.7,755.8,759.8,0.6,93,Wind blowing from the north-west,3,4,,"90  or more, but not 100%","Rain, not freezing, continuous, slight at time of observation. ",Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,25.9,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,12,17.6,,,,,,
26.12.2018 20:00,23.4,755.2,759.2,0,69,Wind blowing from the west-northwest,11,,,"90  or more, but not 100%", ,,,,25.9,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",1000-1500,,,60,17.4,,,,,,
26.12.2018 17:00,23.4,755.2,759.2,0,69,Wind blowing from the west-northwest,11,,,50%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",60,17.4,,,,,,
26.12.2018 14:00,23.4,755.2,759.2,0.7,69,Wind blowing from the west-northwest,11,14,,70 – 80%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,17.4,,,,,,
26.12.2018 11:00,23.6,754.5,759,0.1,68,Wind blowing from the north-west,13,14,,70 – 80%.,Cloud development not observed or not observable. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,21.1,,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",40,17.3,,,,,,
26.12.2018 08:00,21.9,754.4,758.5,0.7,85,Wind blowing from the north-northwest,10,13,,70 – 80%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,19.5,,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,19.3,1,24,,,,
26.12.2018 05:00,20,753.7,757.9,-0.3,92,Wind blowing from the north,7,8,,"90  or more, but not 100%",Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",1500-2000,,,20,18.6,,,,,,
26.12.2018 02:00,20.8,754,758.8,-1,87,Wind blowing from the north-northwest,6,9,,"90  or more, but not 100%","Rain, not freezing, continuous, slight at time of observation. ",Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",600-1000,,,10,18.6,,,,,,
25.12.2018 23:00,21.5,755,759,-0.1,81,Wind blowing from the north-northwest,7,,,"90  or more, but not 100%", ,,,,26.3,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,30,18.1,,,,,,
25.12.2018 20:00,25.1,755.1,759.1,0,62,Wind blowing from the north-northwest,9,,,"90  or more, but not 100%", ,,,,26.5,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",600-1000,,,40,17.2,,,,,,
25.12.2018 17:00,25.1,755.1,759.1,0,62,Wind blowing from the north-northwest,9,,,20–30%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",40,17.2,,,,,,
25.12.2018 14:00,25.1,755.1,759.1,0.1,62,Wind blowing from the north-northwest,9,13,,50%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",40,17.2,,,,,,
25.12.2018 11:00,25.2,755,759.1,-0.1,54,Wind blowing from the north-west,8,11,,60%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",40,15.1,,,,,,
25.12.2018 08:00,21.5,755.1,759.4,0.7,64,Wind blowing from the north,4,5,,70 – 80%., ,,,16,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.",30,14.4,,,,,,
25.12.2018 05:00,16.4,754.4,758.5,-0.2,89,Wind blowing from the north,2,3,,no clouds, ,,,,,,,,,,30,14.5,,,,,,
25.12.2018 02:00,19.2,754.6,758.6,-1.4,81,Wind blowing from the south-southwest,2,3,,no clouds, ,,,,,,,,,,30,15.8,,,,,,
24.12.2018 23:00,20.1,756,760,0.6,80,Wind blowing from the south,3,,,no clouds, ,,,,,,,,,,30,16.5,,,,,,
24.12.2018 20:00,21,755.4,759.4,0.9,75,Wind blowing from the south,7,7,,20–30%., ,,,,26.7,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",30,16.4,,,,,,
24.12.2018 17:00,24.6,754.5,758.5,,59,Wind blowing from the south,7,7,,20–30%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",30,16.1,,,,,,
24.12.2018 14:00,27,755.5,759.5,-0.7,48,Wind blowing from the south,7,10,,70 – 80%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.",Cirrostratus not progressively invading the sky and not entirely covering it.,25,15.1,,,,,,
24.12.2018 11:00,24.5,756.2,760.4,0.1,61,Wind blowing from the south,8,10,,40%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",40,16.5,,,,,,
24.12.2018 08:00,22.4,756.1,760.1,0.6,71,Wind blowing from the south-southwest,7,11,,"10%  or less, but not 0", ,,,19.7,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",40,16.9,,,,,,
24.12.2018 05:00,20.2,755.5,759.5,,78,Wind blowing from the south,5,8,,40%., ,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",40%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",55,16.2,,,,,,
23.12.2018 20:00,21.1,756,760,0.9,76,Wind blowing from the south,8,11,,20–30%., ,,,,26.7,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,16.7,,,,,,
23.12.2018 17:00,24.9,755.1,759.1,-0.4,61,Wind blowing from the south,8,11,,20–30%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,16.9,,,,,,
23.12.2018 14:00,24.5,755.5,759.5,0,66,Wind blowing from the south,7,9,,50%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30,17.7,,,,,,
23.12.2018 11:00,23.7,755.5,759.4,1,73,Wind blowing from the south,5,6,,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30,18.5,,,,,,
23.12.2018 08:00,20.4,754.5,758.5,0,92,Wind blowing from the south-west,5,,,50%., ,,,20.2,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",50%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",11,19.1,,,,,,
23.12.2018 05:00,20.4,754.5,758.5,,92,Wind blowing from the south-west,5,,,50%., ,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",50%.,100-200,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,19.1,,,,,,
22.12.2018 23:00,21,756.1,760.1,0.3,88,Wind blowing from the south-southwest,7,8,,60%., ,,,,28.2,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",60%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,19,,,,,,
22.12.2018 20:00,21.6,755.8,759.8,0.6,86,Wind blowing from the south-southwest,7,11,,20–30%., ,,,,28.2,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",20–30%.,200-300,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30,19.1,,,,,,
22.12.2018 17:00,25,755.2,759.3,-0.6,62,Wind blowing from the south,9,12,,20–30%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0","2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",30,17.2,,,,,,
22.12.2018 14:00,27.3,755.8,759.8,-1,51,Wind blowing from the south,5,8,,20–30%., ,,,,,,,"2500 or more, or no clouds.",,,30,16.4,,,,,,
22.12.2018 11:00,25.4,756.8,760.8,0.1,58,Wind blowing from the south-southwest,4,4,,no clouds, ,,,,,,,,,,40,16.4,,,,,,
22.12.2018 08:00,22.5,756.7,760.6,1,71,Wind blowing from the south-southwest,6,8,,"10%  or less, but not 0", ,,,19.5,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,17,,,,,,
22.12.2018 05:00,19.5,755.7,759.8,-0.5,93,Wind blowing from the south-southwest,5,6,,20–30%., ,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",20–30%.,200-300,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,18.4,,,,,,
22.12.2018 02:00,19.9,756.2,760.3,-0.6,91,Wind blowing from the south-southwest,6,8,,"90  or more, but not 100%", ,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.","90  or more, but not 100%",200-300,,,10,18.4,,,,,,
21.12.2018 23:00,20.1,756.8,760.9,,86,Wind blowing from the south-southwest,6,16,,20–30%., ,,,,27.7,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30,17.7,,,,,,
21.12.2018 20:00,20.9,756.2,760.3,1,82,Wind blowing from the south,9,9,,"90  or more, but not 100%", ,,,,27.7,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",600-1000,,,22,17.6,,,,,,
21.12.2018 17:00,23.9,755.2,759.1,-1,69,Wind blowing from the south,9,9,,no clouds, ,,,,,,,,,,25,17.9,,,,,,
21.12.2018 14:00,24.7,756.2,760.3,0,53,Wind blowing from the south-southwest,5,7,,70 – 80%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",70 – 80%.,"2500 or more, or no clouds.",Altostratus opacus or Nimbostratus.,"No Cirrus, Cirrocumulus or Cirrostratus.",30,14.6,,,,,,
21.12.2018 11:00,24.7,756.2,760.3,0.1,53,Wind blowing from the south-southwest,5,8,,"90  or more, but not 100%", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.",Cirrostratus not progressively invading the sky and not entirely covering it.,40,14.6,,,,,,
21.12.2018 08:00,21.9,756.1,760.3,0.9,71,Wind blowing from the west-southwest,4,7,,70 – 80%., ,,,18.9,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.",40,16.3,,,,,,
21.12.2018 05:00,19,755.2,759.3,-0.4,84,Wind blowing from the west-southwest,4,5,,no clouds, ,,,,,,,,,,40,16.3,,,,,,
21.12.2018 02:00,20.4,755.6,759.7,-2.3,76,Wind blowing from the west-southwest,6,8,,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",40,15.9,,,,,,
20.12.2018 23:00,20.6,757.9,762,-0.7,71,Wind blowing from the south-southwest,6,7,,20–30%., ,,,,26.1,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",40,15.2,,,,,,
20.12.2018 20:00,20.8,758.6,762.7,1.1,78,Wind blowing from the south,8,9,,50%., ,,,,26.1,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",30,16.8,,,,,,
20.12.2018 17:00,24,757.5,761.8,-0.4,59,Wind blowing from the south,10,13,,"10%  or less, but not 0", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30,15.4,,,,,,
20.12.2018 14:00,24.9,757.9,762.1,-0.3,54,Wind blowing from the south,8,9,,"10%  or less, but not 0", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30,15,,,,,,
20.12.2018 11:00,24.6,758.2,762.4,0.4,53,Wind blowing from the south,5,6,,no clouds, ,,,21.3,,,,,,,30,14.4,,,,,,
20.12.2018 08:00,21.5,757.8,761.8,0.2,67,Wind blowing from the south-southwest,5,6,,no clouds, ,,,17.4,,,,,,,40,15,,,,,,
20.12.2018 05:00,17.8,757.6,761.7,-0.7,90,Wind blowing from the south-west,4,,,no clouds, ,,,,,,,,,,30,16.2,,,,,,
20.12.2018 02:00,18.1,758.3,762.4,-1.1,89,Wind blowing from the south,4,,,no clouds, ,,,,,,,,,,30,16.2,,,,,,
19.12.2018 23:00,18.5,759.4,763.5,0.5,89,Wind blowing from the south,5,,,20–30%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30,16.6,,,,,,
